,,січ.-19,,,,,,,,,,,,
"Month
Місяць",Id_airport,Airport name (Назва аеропорту),Passengers(Пасажиропотік),"Air Transport
Movements( Рейси)",Cancelled movements (Скасовані рейси),"Total Air Transport
Movements Excluding
Cancelled(Загальний рух повітряного транспорту, крім скасованих)",International Terminal Passenger Traffic(Пасажиропотік міжнародних терміналів),Domestic Terminal Passenger Traffic(Пасажиропотік внутрішніх терміналів),Між_план,Між_чартер,Внутр_план,Внутр_чартер,Дохід,Прибуток
July,13,East Midlands International,4 795 000,5 732,38,5 694,537 007,33 287,468 502,68 505,32 716,571,"£3 652 000,0","£762 000,0"
July,14,Aberdeen,2 967 000,7 046,208,6 838,140 066,140 054,81 741,58 325,129 597,10 457,"£4 768 000,0","£1 546 000,0"
July,15,Belfast City( George best),2 509 000,3 274,52,3 222,20 989,235 576,20 981,8,235 456,120,"£1 888 000,0","£768 000,0"
July,16,Southerd,1 786 000,2 127,12,2 115,214 301,20 565,214 301,0,20 565,0,"£2 099 000,0","£600 000,0"
July,17,Southampton,1 883 000,3 088,100,2 988,72 887,109 886,69 302,3 585,109 799,87,"£2 908 000,0","£1 407 000,0"
July,18,Cardiff Wales,1 646 000,1 839,27,1 812,183 590,24 454,158 535,94 357,24 302,152,"£1 910 000,0","£6 677,0"
July,19,Doncaster Sheffield,1 304 000,1 129,6,1 123,153 891,10 187,87 760,66 131,10 182,5,"£1 089 000,0","£98 000,0"
July,20,Exeter,997 000,1 542,4,1 538,66 516,46 516,39 309,27 207,46 516,0,"£3 710 000,0","£630 000,0"
July,21,Bournemouth,735 000,581,0,581,94 575,745,68 816,25 759,514,231,"£4 807 000,0","£1 388 000,0"
July,22,Norwich,541 000,1 867,0,1 867,44 560,13 805,16 068,25 485,13 658,147,"£1 471 000,0","£610 000,0"
July,23,Newquay,466 000,1 052,42,1 010,13 302,45 638,13 302,0,45 638,0,"£955 000,0","£368 000,0"
July,24,Humberside,204 000,744,31,713,17 935,2 260,11 820,6 115,1 881,379,"£848 000,0","£41 000,0"
August,1,Heathrow,80 730 000,42 452,502,41 950,7 239 500,440 507,7 220 193,19 307,440 507,0,"£280 232 000,0","£36 998 000,0"
August,2,Gatwick,46 618 000,28 158,270,27 888,4 658 832,284 988,4 293 978,364 854,284 558,430,"£67 136 000,0","£9 186 000,0"
August,3,Manchester,29 328 000,20 107,74,20 033,3 102 823,229 420,2 766 360,336 463,229 147,273,"£76 188 000,0","£22 661 000,0"
August,4,Stansted,28 358 000,17 362,36,17 326,2 754 553,111 091,2 704 798,49 755,111 091,0,"£30 333 000,0","£10 906 000,0"
August,5,Luton,17 808 000,10 973,85,10 888,1 785 927,111 202,1 738 630,47 297,111 202,0,"£20 165,0","£4 865,0"
